"","Fecha","Casos.semana","Decesos.semana","diasemana.x","Hospitalizados.semana","diasemana.y","Casos","Decesos","Hospitalizados"
"33",2020-10-17,984,45,"sábado",138,"sábado",0.295,0.119,0.192
"34",2020-10-24,1040,55,"sábado",113,"sábado",0.312,0.145,0.157
"35",2020-10-31,834,63,"sábado",137,"sábado",0.25,0.166,0.191
"36",2020-11-07,1240,60,"sábado",157,"sábado",0.372,0.158,0.218
"37",2020-11-14,1150,86,"sábado",221,"sábado",0.345,0.227,0.307
"38",2020-11-21,1919,112,"sábado",226,"sábado",0.576,0.296,0.314
"39",2020-11-28,1934,134,"sábado",273,"sábado",0.58,0.354,0.38
"40",2020-12-05,2314,142,"sábado",337,"sábado",0.694,0.375,0.469
"41",2020-12-12,2400,196,"sábado",375,"sábado",0.72,0.517,0.522
"42",2020-12-19,2461,202,"sábado",400,"sábado",0.738,0.533,0.556
"43",2020-12-26,2421,242,"sábado",404,"sábado",0.726,0.639,0.562
"44",2021-01-02,2373,250,"sábado",408,"sábado",0.712,0.66,0.567
"45",2021-01-09,2196,218,"sábado",419,"sábado",0.659,0.575,0.583
"46",2021-01-16,2078,227,"sábado",401,"sábado",0.623,0.599,0.558
"47",2021-01-23,1592,229,"sábado",334,"sábado",0.478,0.604,0.465
"48",2021-01-30,1091,164,"sábado",248,"sábado",0.327,0.433,0.345
"49",2021-02-06,949,163,"sábado",190,"sábado",0.285,0.43,0.264
"50",2021-02-13,721,105,"sábado",133,"sábado",0.216,0.277,0.185
"51",2021-02-20,625,76,"sábado",71,"sábado",0.188,0.201,0.099
"52",2021-02-27,496,63,"sábado",54,"sábado",0.149,0.166,0.075
"53",2021-03-06,707,47,"sábado",67,"sábado",0.212,0.124,0.093
"54",2021-03-13,643,30,"sábado",62,"sábado",0.193,0.079,0.086
"55",2021-03-20,669,26,"sábado",70,"sábado",0.201,0.069,0.097
"56",2021-03-27,576,34,"sábado",68,"sábado",0.173,0.09,0.095
"57",2021-04-03,582,36,"sábado",76,"sábado",0.175,0.095,0.106
"58",2021-04-10,677,40,"sábado",82,"sábado",0.203,0.106,0.114
"59",2021-04-17,508,30,"sábado",75,"sábado",0.152,0.079,0.104
"60",2021-04-24,519,34,"sábado",54,"sábado",0.156,0.09,0.075
"61",2021-05-01,461,23,"sábado",41,"sábado",0.138,0.061,0.057
