"","Fecha","Analizados","Pruebas","Confirmados_lab","Descartados_lab","Sospechosos","Confirmados","C_M","C_H","Decesos","D_M","D_H","Ambulatorios","Hospitalizados","Graves","Criticos","UCI","Recuperados","Activos","Hospitalizados.Activos","Ambulatorios.Activos","Decesos.Activos","C_IMSS","D_IMSS","C_SSA","D_SSA","C_Estatal","D_Estatal","C_Municipal","D_Municipal","C_ISSSTE","D_ISSSTE","C_Privada","D_Privada","C_SEDENA","D_SEDENA","C_SEMAR","D_SEMAR","C_PEMEX","D_PEMEX","C_0_14","D_0_14","C_15_29","D_15_29","C_30_59","D_30_59","C_60_mas","D_60_mas","Positividad.acum","diasemana","Analizados.semana","Casos.semana","Confirmados.semana","hospitalizados.semana","Decesos.semana","Pruebas.semana","Sospechosos.semana","Recuperados.semana","Positividad.semanal","ISSSTESON","pctj_menores","MUNICIPIO.x","casos.hmo","MUNICIPIO.y","decesos.hmo","casos.resto","decesos.resto","POB","mortalidad","incidencia","inciact"
"62",2021-06-19,159162,134284,60129,74155,5685,77722,41725,35997,6738,2851,3887,64746,12976,27221,14957,513,69805,1181,69,1110,2,16950,4300,53612,0,6121,378,0,0,972,128,32,5,23,3,7,1,5,0,50,0,323,1,666,13,87,17,44.8,"sábado",2803,1126,1054,84,31,2690,43,754,39.2,79,4.4,"Hermosillo",492,"Hermosillo",8,634,23,2944840,10.5,38.2,40.1
"63",2021-06-26,162715,137493,61352,76141,5948,79024,42414,36610,6764,2864,3900,65940,13084,27483,15075,516,70804,1460,78,1378,4,17468,4325,54309,0,6202,378,0,0,978,130,32,5,23,3,7,1,5,0,44,0,401,1,736,10,121,15,44.6,"sábado",3553,1302,1223,108,26,3209,263,999,38.1,81,3.4,"Hermosillo",552,"Hermosillo",19,750,7,2944840,8.8,44.2,49.6
"64",2021-07-03,165896,140751,62586,78165,5790,80339,43119,37220,6800,2876,3924,67134,13205,27743,15206,519,71947,1600,87,1505,8,17941,4350,55129,0,6216,380,0,0,985,130,33,5,23,3,7,1,5,0,52,-1,423,2,709,15,131,20,44.5,"sábado",3181,1315,1234,121,36,3258,-158,1143,37.9,14,4,"Hermosillo",489,"Hermosillo",18,826,18,2944840,12.2,44.7,54.3
"65",2021-07-10,169395,144142,63888,80254,5767,81771,43922,37849,6848,2905,3943,68414,13357,28048,15372,521,73375,1553,103,1445,5,18507,4390,55894,0,6306,382,0,0,991,131,34,5,26,3,8,1,5,0,75,0,456,3,761,18,140,27,44.3,"sábado",3499,1432,1302,152,48,3391,-23,1428,38.4,90,5.2,"Hermosillo",484,"Hermosillo",13,948,35,2944840,16.3,48.6,52.7
"66",2021-07-17,173653,148130,65646,82484,5939,83617,44916,38701,6888,2924,3964,70114,13503,28356,15529,524,74687,2049,114,1928,7,19261,4423,56963,0,6319,382,1,0,997,132,35,6,28,3,8,1,5,0,101,0,640,3,932,16,173,21,44.3,"sábado",4258,1846,1758,146,40,3988,172,1312,44.1,13,5.5,"Hermosillo",581,"Hermosillo",10,1265,30,2944840,13.6,62.7,69.6
"67",2021-07-24,178961,152886,67772,85114,6335,85897,46145,39752,6935,2942,3993,72210,13687,28720,15730,527,76553,2421,130,2279,12,20188,4455,58120,0,6489,385,1,0,1021,132,37,7,28,3,8,1,5,0,143,0,758,1,1151,24,228,22,44.3,"sábado",5308,2280,2126,184,47,4756,396,1866,44.7,170,6.3,"Hermosillo",777,"Hermosillo",10,1503,37,2944840,16,77.4,82.2
"68",2021-07-31,185492,159573,70375,89198,6002,88678,47599,41079,7027,2980,4047,74728,13950,29284,16030,537,78768,2899,187,2696,16,21384,4520,59525,0,6639,386,1,0,1049,136,38,7,29,3,8,1,5,0,177,0,867,3,1464,48,273,41,44.1,"sábado",6531,2781,2603,263,92,6687,-333,2215,38.9,150,6.4,"Hermosillo",894,"Hermosillo",31,1887,61,2944840,31.2,94.4,98.4
"69",2021-08-07,191539,165564,72928,92636,5913,91388,49013,42375,7122,3027,4095,77153,14235,29857,16350,542,81242,3045,204,2820,21,22724,4592,60852,0,6665,389,1,0,1065,138,38,7,30,3,8,1,5,0,140,1,902,2,1411,47,257,45,44,"sábado",6047,2710,2553,285,95,5991,-89,2474,42.6,26,5.2,"Hermosillo",806,"Hermosillo",25,1904,70,2944840,32.3,92,103.4
"70",2021-08-14,197852,171169,75388,95781,6394,94073,50457,43616,7243,3082,4161,79568,14505,30442,16653,549,83848,3008,175,2807,26,24134,4694,62065,0,6701,389,1,0,1088,144,39,7,31,3,8,1,6,0,187,1,811,2,1410,50,277,68,44,"sábado",6313,2685,2460,270,121,5605,481,2606,43.9,36,7,"Hermosillo",749,"Hermosillo",34,1936,87,2944840,41.1,91.2,102.1
"71",2021-08-21,204256,177510,78217,99293,6113,97233,52207,45026,7355,3129,4226,82404,14829,31084,17009,564,86880,3026,200,2798,28,25471,4782,63475,0,7076,389,1,0,1124,151,41,7,31,3,8,1,6,0,244,1,927,4,1628,44,361,63,44.1,"sábado",6404,3160,2829,324,112,6341,-281,3032,44.6,375,7.7,"Hermosillo",1231,"Hermosillo",26,1929,86,2944840,38,107.3,102.8
"72",2021-08-28,211410,184262,80849,103413,6244,100138,53767,46371,7477,3187,4290,84998,15140,31650,17346,570,89826,2869,212,2623,34,26689,4881,64789,0,7421,389,1,0,1149,154,42,7,32,3,9,2,6,0,229,2,709,9,1556,40,411,71,43.9,"sábado",7154,2905,2632,311,122,6752,131,2946,39,345,7.9,"Hermosillo",1011,"Hermosillo",28,1894,94,2944840,41.4,98.6,97.4
"73",2021-09-04,217098,189686,82946,106740,6247,102493,55063,47430,7655,3267,4388,87118,15375,32149,17601,577,92429,2434,167,2242,25,27645,4973,65887,0,7700,394,1,0,1169,156,43,7,33,3,9,2,6,0,180,0,539,2,1310,80,326,96,43.7,"sábado",5688,2355,2097,235,178,5424,3,2603,38.7,279,7.6,"Hermosillo",794,"Hermosillo",49,1561,129,2944840,60.4,80,82.7
"74",2021-09-11,221907,194340,84612,109728,6211,104334,56052,48282,7800,3330,4470,88725,15609,32636,17886,596,94569,1985,146,1819,20,28375,5052,66853,0,7825,415,1,0,1189,161,43,7,33,3,9,2,6,0,128,0,435,4,966,61,312,80,43.5,"sábado",4809,1841,1666,234,145,4654,-36,2140,35.8,125,7,"Hermosillo",533,"Hermosillo",54,1308,91,2944840,49.2,62.5,67.4
"75",2021-09-18,225310,197805,85999,111806,6045,105824,56813,49011,7926,3383,4543,90037,15787,33028,18083,604,96308,1605,125,1465,15,28908,5119,67646,0,7975,416,1,0,1203,161,43,7,33,3,9,2,6,0,129,0,350,6,762,52,249,68,43.5,"sábado",3403,1490,1387,178,126,3465,-166,1739,40,150,8.7,"Hermosillo",501,"Hermosillo",19,989,107,2944840,42.8,50.6,54.5
"76",2021-09-25,229242,201322,87250,114072,6230,107302,57599,49703,8112,3461,4651,91329,15973,33423,18339,650,97801,1401,106,1283,12,29404,5199,68413,0,8183,420,1,0,1209,166,43,7,34,3,9,2,6,0,129,0,361,2,739,58,249,126,43.3,"sábado",3932,1478,1251,186,186,3517,185,1493,35.6,208,8.7,"Hermosillo",521,"Hermosillo",88,957,98,2944840,63.2,50.2,47.6
"77",2021-10-02,232336,204245,88173,116072,6211,108411,58211,50200,8226,3510,4716,92269,16142,33736,18529,661,99090,1111,85,1010,16,29780,5265,68982,0,8339,422,1,0,1216,169,43,7,35,4,9,2,6,0,91,0,272,3,542,30,204,81,43.2,"sábado",3094,1109,923,169,114,2923,-19,1289,31.6,156,8.2,"Hermosillo",386,"Hermosillo",33,723,81,2944840,38.7,37.7,37.7
"78",2021-10-09,235262,207151,89017,118134,6073,109411,58740,50671,8298,3539,4759,93160,16251,33996,18653,669,100177,949,74,862,13,30167,5312,69468,0,8456,426,1,0,1225,169,44,7,35,4,9,2,6,0,79,1,207,2,551,23,163,46,43,"sábado",2926,1000,844,109,72,2906,-138,1087,29,117,7.9,"Hermosillo",306,"Hermosillo",26,694,46,2944840,24.4,34,32.2
"79",2021-10-16,237896,209689,89677,120012,6047,110178,59149,51029,8335,3555,4780,93834,16344,34201,18757,670,100998,855,64,781,10,30470,5338,69915,0,8463,426,1,0,1235,169,44,7,35,4,9,2,6,0,63,0,161,0,409,9,134,28,42.8,"sábado",2634,767,660,93,37,2538,-26,821,26,7,8.2,"Hermosillo",184,"Hermosillo",3,583,34,2944840,12.6,26,29
"80",2021-10-23,240598,212148,90390,121758,6113,111069,59644,51425,8389,3576,4813,94619,16450,34443,18868,675,101890,800,65,725,10,30809,5374,70377,0,8543,427,1,0,1243,170,45,7,36,4,9,2,6,0,89,0,186,0,447,14,169,40,42.6,"sábado",2702,891,713,106,54,2459,66,892,29,80,10,"Hermosillo",256,"Hermosillo",11,635,43,2944840,18.3,30.3,27.2
"81",2021-10-30,243229,214515,91091,123424,6130,111992,60136,51856,8450,3607,4843,95445,16547,34672,18975,683,102729,816,67,746,3,31133,5398,70820,0,8687,433,1,0,1255,170,45,7,36,4,9,2,6,0,85,0,195,1,473,15,170,45,42.5,"sábado",2631,923,701,97,61,2367,17,839,29.6,144,9.2,"Hermosillo",301,"Hermosillo",9,622,52,2944840,20.7,31.3,27.7
"82",2021-11-06,245955,217130,91960,125170,6059,113040,60708,52332,8529,3646,4883,96384,16656,34902,19097,686,103637,887,71,803,13,31587,5438,71247,0,8848,436,1,0,1261,173,45,7,36,4,9,2,6,0,79,0,216,1,575,33,178,45,42.4,"sábado",2726,1048,869,109,79,2615,-71,908,33.2,161,7.5,"Hermosillo",360,"Hermosillo",11,688,68,2944840,26.8,35.6,30.1
"83",2021-11-13,249425,220333,93045,127288,6156,114294,61413,52881,8585,3670,4915,97479,16815,35210,19267,692,104409,1305,82,1218,5,32098,5475,71826,0,9002,436,1,0,1271,173,45,7,36,4,9,2,6,0,88,0,285,0,683,12,198,44,42.2,"sábado",3470,1254,1085,159,56,3203,97,772,33.9,154,7,"Hermosillo",475,"Hermosillo",10,779,46,2944840,19,42.6,44.3
"84",2021-11-20,252526,223151,94119,129032,6269,115523,62125,53398,8641,3694,4947,98542,16981,35575,19449,697,105520,1375,114,1248,13,32584,5520,72396,0,9162,436,1,0,1284,175,45,7,36,4,9,2,6,0,78,0,272,1,646,13,233,42,42.2,"sábado",3101,1229,1074,166,56,2818,113,1111,38.1,160,6.3,"Hermosillo",494,"Hermosillo",12,735,44,2944840,19,41.7,46.7
"85",2021-11-27,256606,226917,95645,131272,6355,117277,63081,54196,8703,3716,4987,100138,17139,35925,19621,701,106695,1899,113,1766,20,33281,5570,73212,0,9382,438,1,0,1305,178,45,7,36,4,9,2,6,0,129,0,387,0,958,19,280,43,42.1,"sábado",4080,1754,1526,158,62,3766,86,1175,40.5,220,7.4,"Hermosillo",697,"Hermosillo",21,1057,41,2944840,21.1,59.6,64.5
"86",2021-12-04,260614,230503,97021,133482,6437,118987,64015,54972,8797,3755,5042,101659,17328,36324,19833,710,108430,1775,124,1636,15,33880,5610,74089,0,9600,438,1,0,1320,180,46,7,36,4,9,2,6,0,101,2,366,0,925,33,318,59,42.1,"sábado",4008,1710,1376,189,94,3586,82,1735,38.4,218,5.9,"Hermosillo",788,"Hermosillo",20,922,74,2944840,31.9,58.1,60.3
"87",2021-12-11,264409,234174,98337,135837,6462,120387,64761,55626,8888,3791,5097,102867,17520,36761,20041,714,109909,1614,131,1459,24,34442,5670,74801,0,9702,438,1,0,1344,182,46,7,36,4,9,2,6,0,79,-2,307,0,752,18,262,75,42,"sábado",3795,1400,1316,192,91,3671,25,1479,35.8,102,5.6,"Hermosillo",501,"Hermosillo",27,899,64,2944840,30.9,47.5,54.8
"88",2021-12-18,267769,237384,99541,137843,6558,121637,65450,56187,8987,3836,5151,103950,17687,37154,20235,723,111303,1361,124,1223,14,34933,5729,75402,0,9834,450,1,0,1370,188,46,7,36,4,9,2,6,0,71,0,274,0,668,33,237,66,41.9,"sábado",3360,1250,1204,167,99,3210,96,1394,37.5,132,5.7,"Hermosillo",413,"Hermosillo",50,837,49,2944840,33.6,42.4,46.2
"89",2021-12-25,270061,239539,100306,139233,6666,122402,65875,56527,9059,3869,5190,104567,17835,37481,20392,726,112432,924,83,828,13,35298,5789,75745,0,9871,450,1,0,1388,191,48,7,36,4,9,2,6,0,45,0,166,1,408,13,146,58,41.9,"sábado",2292,765,765,148,72,2155,108,1129,35.5,37,5.9,"Hermosillo",282,"Hermosillo",22,483,50,2944840,24.4,26,31.4
"90",2022-01-01,273205,242677,101476,141201,6605,123642,66580,57062,9169,3913,5256,105655,17987,37830,20565,740,113267,1223,87,1119,17,35785,5866,76355,0,9989,450,1,0,1412,196,49,7,36,4,9,2,6,0,63,1,297,2,692,28,188,79,41.8,"sábado",3144,1240,1170,152,110,3138,-61,835,37.3,118,5.1,"Hermosillo",487,"Hermosillo",53,753,57,2944840,37.4,42.1,41.5
"91",2022-01-08,279538,248623,104666,143957,6868,126953,68565,58388,9218,3930,5288,108828,18125,38167,20729,747,114181,3569,96,3458,15,37332,5900,77744,0,10291,451,1,0,1481,201,52,7,37,4,9,2,6,0,109,0,961,0,1953,15,288,34,42.1,"sábado",6333,3311,3190,138,49,5946,263,914,53.6,302,3.3,"Hermosillo",1340,"Hermosillo",27,1971,22,2944840,16.6,112.4,121.2
"92",2022-01-15,290301,259304,111015,148289,6801,133430,72425,61005,9290,3962,5328,115096,18334,38636,20954,757,116598,7557,179,7363,15,40684,5935,80352,0,10670,463,1,0,1614,207,53,7,38,4,12,2,6,0,155,1,1781,0,4044,19,497,52,42.8,"sábado",10763,6477,6349,209,72,10681,-67,2417,59.4,379,2.4,"Hermosillo",2316,"Hermosillo",30,4161,42,2944840,24.4,219.9,256.6
"93",2022-01-22,299433,268038,117431,150607,6838,140209,76562,63647,9380,4000,5380,121601,18608,39194,21246,760,122994,7866,236,7599,31,44107,5991,83108,0,11150,463,1,0,1729,215,58,7,38,4,12,2,6,0,216,1,1799,0,4188,25,576,64,43.8,"sábado",9132,6779,6416,274,90,8734,37,6396,73.5,480,3.2,"Hermosillo",2064,"Hermosillo",24,4715,66,2944840,30.6,230.2,267.1
"94",2022-01-29,307413,275641,123103,152538,6825,146266,80144,66122,9490,4049,5441,127337,18929,39804,21584,766,130157,6661,279,6340,42,47243,6084,85385,0,11691,463,1,0,1830,218,58,7,39,4,12,2,7,0,211,1,1440,0,3746,25,660,84,44.7,"sábado",7980,6057,5672,321,110,7603,-13,7163,74.6,541,3.5,"Hermosillo",1986,"Hermosillo",27,4071,83,2944840,37.4,205.7,226.2
"95",2022-02-05,314306,282298,128167,154131,6775,151576,83327,68249,9636,4114,5522,132348,19228,40388,21898,772,137151,4832,261,4528,43,50352,6185,86965,0,12223,463,1,0,1916,223,59,7,40,4,12,2,8,0,242,0,1227,2,3228,31,613,113,45.4,"sábado",6893,5310,5064,299,146,6657,-50,6994,76.1,532,4.6,"Hermosillo",2216,"Hermosillo",43,3094,103,2944840,49.6,180.3,164.1
"96",2022-02-12,319342,287147,131886,155261,6764,155491,85624,69867,9770,4172,5598,136063,19428,40793,22117,774,142530,3234,162,3029,43,53020,6287,87788,0,12534,463,1,0,2027,228,60,7,41,4,12,2,8,0,180,1,939,0,2358,20,438,113,45.9,"sábado",5036,3915,3719,200,134,4849,-11,5379,76.7,311,4.6,"Hermosillo",1651,"Hermosillo",45,2264,89,2944840,45.5,132.9,109.8
"97",2022-02-19,324192,291909,135083,156826,6748,158786,87582,71204,9861,4207,5654,139209,19577,41096,22278,777,146844,2111,116,1965,30,55246,6353,88366,0,12922,463,1,0,2122,232,67,8,41,4,13,2,8,0,147,0,772,3,2029,16,347,72,46.3,"sábado",4850,3295,3197,149,91,4762,-16,4314,67.1,388,4.5,"Hermosillo",1527,"Hermosillo",26,1768,65,2944840,30.9,111.9,71.7
"98",2022-02-26,327471,295107,137246,157861,6722,161050,88909,72141,9924,4232,5692,141382,19668,41307,22379,788,149806,1333,55,1265,13,56852,6390,88702,0,13152,463,1,0,2209,234,72,8,41,4,13,2,8,0,82,1,552,0,1392,6,238,56,46.5,"sábado",3279,2264,2163,91,63,3198,-26,2962,67.6,230,3.6,"Hermosillo",992,"Hermosillo",17,1272,46,2944840,21.4,76.9,45.3
"99",2022-03-05,329756,297321,138551,158770,6721,162414,89690,72724,9956,4246,5710,142689,19725,41462,22441,792,151682,780,31,745,4,57786,6415,88887,0,13344,463,1,0,2257,235,76,8,41,4,14,2,8,0,67,0,318,0,834,4,145,28,46.6,"sábado",2285,1364,1305,57,32,2214,-1,1876,58.9,192,4.9,"Hermosillo",565,"Hermosillo",13,799,19,2944840,10.9,46.3,26.5
"100",2022-03-12,331589,299089,139415,159674,6748,163312,90205,73107,10037,4268,5769,143562,19750,41595,22512,792,152694,583,21,560,2,58390,6441,89023,0,13487,494,1,0,2268,236,80,8,41,4,14,2,8,0,33,1,243,0,564,16,58,64,46.6,"sábado",1833,898,864,25,81,1768,27,1012,48.9,143,3.7,"Hermosillo",313,"Hermosillo",45,585,36,2944840,27.5,30.5,19.8
"101",2022-03-19,333110,300583,139802,160781,6751,163723,90469,73254,10053,4274,5779,143949,19774,41672,22543,792,153307,367,12,351,4,58653,6454,89083,0,13567,494,1,0,2276,236,80,8,41,4,14,2,8,0,20,0,115,0,237,6,39,10,46.5,"sábado",1521,411,387,24,16,1494,3,613,25.9,80,4.9,"Hermosillo",84,"Hermosillo",6,327,10,2944840,5.4,14,12.5
"102",2022-03-26,334802,302251,140450,161801,6766,164380,90865,73515,10076,4283,5793,144594,19786,41721,22561,795,154195,109,10,99,0,59247,6457,89114,0,13592,498,1,0,2282,236,81,8,41,4,14,2,8,0,17,0,198,1,415,6,27,16,46.5,"sábado",1692,657,648,12,23,1668,15,888,38.8,25,2.6,"Hermosillo",71,"Hermosillo",9,586,14,2944840,7.8,22.3,3.7
"103",2022-04-02,336364,303814,140953,162861,6744,164905,91166,73739,10083,4287,5796,145113,19792,41757,22569,795,154714,109,5,103,1,59689,6461,89159,0,13626,498,1,0,2285,237,82,8,41,4,14,2,8,0,9,0,160,0,325,1,31,6,46.4,"sábado",1562,525,503,6,7,1563,-22,519,32.2,34,1.7,"Hermosillo",41,"Hermosillo",2,484,5,2944840,2.4,17.8,3.7
"104",2022-04-09,337597,304999,141405,163594,6777,165372,91446,73926,10096,4289,5807,145568,19804,41804,22586,795,155185,91,4,87,0,60088,6463,89207,0,13638,498,1,0,2293,237,82,8,41,4,14,2,8,0,14,0,141,0,277,3,35,10,46.4,"sábado",1233,467,452,12,13,1185,33,471,38.1,12,3,"Hermosillo",19,"Hermosillo",0,448,13,2944840,4.4,15.9,3.1
"105",2022-04-16,337950,305361,141466,163895,6757,165444,91493,73951,10104,4293,5811,145635,19809,41826,22592,795,155294,46,4,42,0,60114,6465,89238,0,13653,498,1,0,2293,237,82,8,41,4,14,2,8,0,2,0,21,1,37,1,12,6,46.3,"sábado",353,72,61,5,8,362,-20,109,16.9,15,2.8,"Hermosillo",24,"Hermosillo",4,48,4,2944840,2.7,2.4,1.6
"106",2022-04-23,338675,306054,141528,164526,6763,165529,91552,73977,10112,4295,5817,145686,19843,41903,22634,794,155360,57,7,50,0,60155,6466,89263,0,13659,498,1,0,2306,237,82,8,41,4,14,2,8,0,11,0,26,0,38,3,10,5,46.2,"sábado",725,85,62,34,8,693,6,66,8.9,6,12.9,"Hermosillo",42,"Hermosillo",8,43,0,2944840,2.7,2.9,1.9
"107",2022-04-30,339194,306557,141589,164968,6770,165598,91596,74002,10118,4299,5819,145747,19851,41928,22645,795,155417,64,8,55,1,60174,6465,89285,0,13676,500,1,0,2317,237,82,8,41,4,14,2,8,0,2,-1,13,0,41,2,13,5,46.2,"sábado",519,69,61,8,6,503,7,57,12.1,17,2.9,"Hermosillo",26,"Hermosillo",1,43,5,2944840,2,2.3,2.2
"108",2022-05-07,339905,307040,141634,165406,6992,165647,91623,74024,10119,4299,5820,145794,19853,41951,22648,795,155483,45,4,41,0,60206,6466,89293,0,13680,500,1,0,2322,237,82,8,41,4,14,2,8,0,3,0,15,0,25,0,6,1,46.1,"sábado",711,49,45,2,1,483,222,66,9.3,4,6.1,"Hermosillo",17,"Hermosillo",0,32,1,2944840,0.3,1.7,1.5
"109",2022-05-14,340325,307446,141701,165745,7004,165714,91667,74047,10120,4299,5821,145859,19855,41975,22654,796,155538,57,1,55,1,60234,6467,89296,0,13685,500,1,0,2351,237,84,8,41,4,14,2,8,0,6,0,15,0,37,0,9,1,46.1,"sábado",420,67,67,2,1,406,12,55,16.5,5,9,"Hermosillo",16,"Hermosillo",1,51,0,2944840,0.3,2.3,1.9
"110",2022-05-21,340234,307382,141240,166142,7011,165219,91449,73770,10129,4307,5822,145384,19835,41945,22636,794,155022,68,3,65,0,60165,6469,88913,0,13636,500,1,0,2357,237,84,8,41,4,14,2,8,0,-3,0,-140,0,-285,3,-67,6,45.9,"sábado",-91,-495,-461,-20,9,-64,7,-516,720.3,-49,0.6,"Hermosillo",-186,"Hermosillo",0,-309,9,2944840,3.1,-16.8,2.3
"111",2022-05-28,340426,307583,140976,166607,7029,164926,91328,73598,10131,4308,5823,145107,19819,41924,22625,795,154688,107,3,104,0,60160,6470,88646,0,13594,500,1,0,2377,238,85,8,41,4,14,2,8,0,-1,0,-72,0,-201,1,-19,1,45.8,"sábado",192,-293,-264,-16,2,201,18,-334,-131.3,-42,0.3,"Hermosillo",-115,"Hermosillo",0,-178,2,2944840,0.7,-9.9,3.6
"112",2022-06-04,341215,308394,141342,167052,7050,165248,91552,73696,10138,4311,5827,145439,19809,41911,22616,795,154900,210,2,208,0,60744,6472,88381,0,13583,500,1,0,2381,241,95,8,41,4,14,2,8,0,10,0,106,0,221,1,-15,6,45.8,"sábado",789,322,366,-10,7,811,21,212,45.1,-11,3.1,"Hermosillo",486,"Hermosillo",2,-164,5,2944840,2.4,10.9,7.1
"113",2022-06-11,342602,309739,142085,167654,7067,166014,92040,73974,10149,4313,5836,146195,19819,41950,22633,795,155323,543,2,540,1,61222,6473,88488,0,13707,500,1,0,2430,242,102,8,41,4,15,2,8,0,41,0,188,0,461,0,76,11,45.9,"sábado",1387,766,743,10,11,1345,17,423,55.2,124,5.4,"Hermosillo",542,"Hermosillo",6,224,5,2944840,3.7,26,18.4
"114",2022-06-18,344826,311891,143395,168496,7087,167364,92844,74520,10156,4314,5842,147523,19841,42006,22659,796,156086,1122,11,1111,0,62009,6474,88756,0,13911,500,1,0,2509,242,114,8,41,4,15,2,8,0,75,0,350,0,805,5,120,2,46,"sábado",2224,1350,1310,22,7,2152,20,763,60.9,204,5.6,"Hermosillo",787,"Hermosillo",6,563,1,2944840,2.4,45.8,38.1
"115",2022-06-25,347870,314803,145277,169526,7155,169310,94057,75253,10165,4317,5848,149455,19855,42057,22679,799,156879,2266,14,2252,0,62979,6474,89232,0,14258,500,1,0,2652,242,124,8,41,4,15,2,8,0,141,0,486,0,1131,3,188,6,46.1,"sábado",3044,1946,1882,14,9,2912,68,793,64.6,347,7.2,"Hermosillo",917,"Hermosillo",1,1029,8,2944840,3.1,66.1,76.9
"116",2022-07-02,351901,318655,147795,170860,7251,171911,95700,76211,10170,4320,5850,152015,19896,42153,22726,800,158112,3630,36,3593,1,64185,6476,89948,0,14760,500,1,0,2814,243,138,8,42,4,15,2,8,0,183,0,666,1,1487,1,265,3,46.4,"sábado",4031,2601,2518,41,5,3852,96,1233,65.4,502,7,"Hermosillo",956,"Hermosillo",5,1645,0,2944840,1.7,88.3,123.3
"117",2022-07-09,356781,323364,151222,172142,7310,175447,97849,77598,10182,4326,5856,155488,19959,42302,22797,803,160544,4727,69,4652,6,66012,6481,90948,0,15334,500,1,0,2930,243,154,8,43,4,16,2,9,0,207,0,919,2,2111,0,299,10,46.8,"sábado",4880,3536,3427,63,12,4709,59,2432,72.8,574,5.9,"Hermosillo",1423,"Hermosillo",6,2113,6,2944840,4.1,120.1,160.5
"118",2022-07-16,362421,328748,155326,173422,7386,179730,100521,79209,10193,4326,5867,159701,20029,42460,22875,805,164117,5425,91,5329,5,68227,6489,92125,0,16065,500,1,0,3074,243,170,8,43,4,16,2,9,0,215,1,1122,0,2522,1,424,9,47.2,"sábado",5640,4283,4104,70,11,5384,76,3573,76.2,731,5,"Hermosillo",1541,"Hermosillo",5,2742,6,2944840,3.7,145.4,184.2
"119",2022-07-23,368321,334401,159738,174663,7513,184258,103319,80939,10215,4336,5879,164151,20107,42627,22960,809,169027,5031,96,4920,15,71034,6500,93168,0,16482,501,1,0,3315,243,188,8,44,4,17,2,9,0,232,0,1190,1,2645,5,461,16,47.8,"sábado",5900,4528,4412,78,22,5653,127,4910,78,417,5.1,"Hermosillo",1559,"Hermosillo",5,2969,17,2944840,7.5,153.8,170.8
