"","Fecha","Analizados","Pruebas","Confirmados_lab","Descartados_lab","Sospechosos","Confirmados","C_M","C_H","Decesos","D_M","D_H","Ambulatorios","Hospitalizados","Graves","Criticos","UCI","Recuperados","Activos","Hospitalizados.Activos","Ambulatorios.Activos","Decesos.Activos","C_IMSS","D_IMSS","C_SSA","D_SSA","C_Estatal","D_Estatal","C_Municipal","D_Municipal","C_ISSSTE","D_ISSSTE","C_Privada","D_Privada","C_SEDENA","D_SEDENA","C_SEMAR","D_SEMAR","C_PEMEX","D_PEMEX","C_0_14","D_0_14","C_15_29","D_15_29","C_30_59","D_30_59","C_60_mas","D_60_mas","Positividad.acum","diasemana","Analizados.semana","Casos.semana","Confirmados.semana","hospitalizados.semana","Decesos.semana","Pruebas.semana","Sospechosos.semana","Recuperados.semana","Positividad.semanal","ISSSTESON","pctj_menores","MUNICIPIO.x","casos.hmo","MUNICIPIO.y","decesos.hmo","casos.resto","decesos.resto","POB","mortalidad","incidencia","inciact"
"31",2020-11-14,74445,56307,28761,27546,5309,40328,21781,18547,3250,1371,1879,33887,6441,14231,7810,330,36375,709,41,662,6,7915,1959,29031,0,2795,191,0,0,548,48,20,3,14,2,4,0,1,0,23,0,217,0,724,19,206,45,51.1,"sábado",2444,1170,990,128,64,1934,313,894,51.2,100,2,"Hermosillo",391,"Hermosillo",18,779,46,2944840,21.7,39.7,24.1
"32",2020-11-21,76626,57876,29595,28281,5803,41261,22288,18973,3312,1397,1915,34696,6565,14477,7952,334,37349,604,39,561,4,8049,2003,29750,0,2861,193,0,0,562,52,20,3,14,2,4,0,1,0,20,0,183,1,557,20,173,41,51.1,"sábado",2181,933,834,124,62,1569,494,974,53.2,66,2.1,"Hermosillo",354,"Hermosillo",21,579,41,2944840,21.1,31.7,20.5
"33",2020-11-28,80382,60148,30927,29221,7073,42779,23096,19683,3411,1439,1972,35986,6793,15048,8206,341,38654,722,41,673,8,8506,2079,30714,0,2934,196,0,0,583,53,22,3,14,2,5,1,1,0,29,0,338,2,855,29,296,68,51.4,"sábado",3756,1518,1332,228,99,2272,1270,1305,58.6,73,1.9,"Hermosillo",497,"Hermosillo",14,1021,85,2944840,33.6,51.5,24.5
"34",2020-12-05,83359,63899,33093,30806,6097,45121,24333,20788,3533,1483,2050,38019,7102,15710,8546,346,40408,1191,72,1108,11,8870,2181,32413,0,3170,202,0,0,625,53,23,3,14,2,5,1,1,0,20,2,509,2,1376,39,437,79,51.8,"sábado",2977,2342,2166,309,122,3751,-976,1754,57.7,236,0.9,"Hermosillo",1229,"Hermosillo",31,1113,91,2944840,41.4,79.5,40.4
"35",2020-12-12,86619,66735,34888,31847,6410,47007,25283,21724,3685,1554,2131,39602,7405,16363,8866,353,42187,1163,83,1052,28,9235,2301,33739,0,3343,219,0,0,646,57,23,3,15,2,5,1,1,0,24,1,382,3,1102,44,378,104,52.3,"sábado",3260,1886,1795,303,152,2836,313,1779,63.3,173,1.3,"Hermosillo",1079,"Hermosillo",41,807,111,2944840,51.6,64,39.5
"36",2020-12-19,89794,68995,36154,32841,7224,48367,26053,22314,3824,1609,2215,40710,7657,16979,9139,359,43822,738,75,646,17,9526,2417,34662,0,3472,221,0,0,661,58,24,3,16,2,5,1,1,0,10,0,278,1,785,39,287,99,52.4,"sábado",3175,1360,1266,252,139,2260,814,1635,56,129,0.7,"Hermosillo",752,"Hermosillo",53,608,86,2944840,47.2,46.2,25.1
"37",2020-12-26,91858,71530,37746,33784,6585,50099,26980,23119,3986,1683,2303,42060,8039,17641,9558,369,45483,661,91,539,31,9929,2558,35748,0,3668,223,0,0,704,60,24,3,17,2,5,1,4,0,19,0,347,2,977,37,389,123,52.8,"sábado",2064,1732,1592,382,162,2535,-639,1661,62.8,196,1.1,"Hermosillo",873,"Hermosillo",31,859,131,2944840,55,58.8,22.4
"38",2021-01-02,94792,74621,39698,34923,6060,52379,28177,24202,4208,1780,2428,43922,8457,18418,10026,388,47253,933,120,798,15,10296,2670,37418,0,3857,245,0,0,758,68,24,3,17,2,5,1,4,0,34,0,476,0,1226,58,544,164,53.2,"sábado",2934,2280,1952,418,222,3091,-525,1770,63.2,189,1.5,"Hermosillo",1331,"Hermosillo",59,949,163,2944840,75.4,77.4,31.7
"39",2021-01-09,98530,77268,41322,35946,6601,54504,29308,25196,4379,1849,2530,45680,8824,19142,10426,406,49057,1096,124,944,28,10680,2805,38980,0,4010,246,0,0,783,73,24,3,17,2,6,1,4,0,35,0,419,1,1214,44,457,126,53.5,"sábado",3738,2125,1624,367,171,2647,541,1804,61.4,153,1.6,"Hermosillo",1199,"Hermosillo",80,926,91,2944840,58.1,72.2,37.2
"40",2021-01-16,102480,80944,43612,37332,6229,57341,30862,26479,4642,1956,2686,48142,9199,19935,10858,417,51609,1122,129,961,32,11151,2928,41168,0,4166,287,0,0,805,78,24,3,17,2,6,1,4,0,36,0,554,2,1693,75,554,186,53.9,"sábado",3950,2837,2290,375,263,3676,-372,2552,62.3,156,1.3,"Hermosillo",1699,"Hermosillo",132,1138,131,2944840,89.3,96.3,38.1
"41",2021-01-23,106576,85304,46071,39233,5369,60367,32488,27879,5092,2152,2940,50700,9667,20913,11367,434,53746,1565,156,1373,36,11793,3182,43379,0,4295,318,0,0,848,83,25,3,17,2,6,1,4,0,42,3,589,4,1762,115,633,328,54,"sábado",4096,3026,2459,468,450,4360,-860,2137,56.4,129,1.4,"Hermosillo",1107,"Hermosillo",189,1919,261,2944840,152.8,102.8,53.1
"42",2021-01-30,110217,88481,47765,40716,5230,62601,33685,28916,5259,2229,3030,52625,9976,21599,11704,442,56130,1227,128,1084,15,12360,3297,44874,0,4452,328,0,0,863,86,25,3,17,2,6,1,4,0,38,-2,473,2,1258,29,465,138,54,"sábado",3641,2234,1694,309,167,3177,-139,2384,53.3,157,1.7,"Hermosillo",1179,"Hermosillo",48,1055,119,2944840,56.7,75.9,41.7
"43",2021-02-06,113441,91621,49445,42176,4943,64674,34732,29942,5499,2328,3171,54396,10278,22222,12040,450,58135,1063,93,947,23,12828,3496,46338,0,4577,342,0,0,879,90,25,3,17,2,6,1,4,0,42,1,416,5,1187,63,428,171,54,"sábado",3224,2073,1680,302,240,3140,-287,2005,53.5,125,2,"Hermosillo",947,"Hermosillo",118,1126,122,2944840,81.5,70.4,36.1
"44",2021-02-13,116386,94390,50362,44028,4834,65886,35346,30540,5704,2419,3285,55381,10505,22688,12288,453,59253,948,85,844,19,13207,3644,47086,0,4643,353,0,0,895,90,27,3,18,3,6,1,4,0,15,0,252,0,669,64,276,141,53.4,"sábado",2945,1212,917,227,205,2769,-109,1118,33.1,66,1.2,"Hermosillo",488,"Hermosillo",73,724,132,2944840,69.6,41.2,32.2
"45",2021-02-20,119070,96691,51112,45579,4994,66875,35840,31035,5872,2490,3382,56218,10657,23003,12454,464,60271,742,60,672,10,13475,3737,47662,0,4780,359,0,0,902,95,27,3,19,3,6,1,4,0,19,0,199,3,560,31,211,134,52.9,"sábado",2684,989,750,152,168,2301,160,1018,32.6,137,1.9,"Hermosillo",447,"Hermosillo",45,542,123,2944840,57,33.6,25.2
