"Estado","% Ocupación","Fecha","Tipo","Pob_Total"
"Sonora",34.24,2020-05-28,"General",2109152
"Sonora",38.26,2020-05-28,"Ventilador",2109152
"Sonora",33.57,2020-05-29,"General",2109152
"Sonora",39.42,2020-05-29,"Ventilador",2109152
"Sonora",53.48,2020-05-29,"UCI",2109152
"Sonora",48.88,2020-05-30,"UCI",2109152
"Sonora",41.29,2020-05-30,"Ventilador",2109152
"Sonora",37.7,2020-05-30,"General",2109152
"Sonora",44.37,2020-05-31,"Ventilador",2109152
"Sonora",39.96,2020-05-31,"General",2109152
"Sonora",53.65,2020-05-31,"UCI",2109152
"Sonora",44.6,2020-06-01,"Ventilador",2109152
"Sonora",37.9,2020-06-01,"General",2109152
"Sonora",54.16,2020-06-01,"UCI",2109152
"Sonora",41.01,2020-06-02,"General",2109152
"Sonora",57.14,2020-06-02,"UCI",2109152
"Sonora",41.28,2020-06-02,"Ventilador",2109152
"Sonora",42.79,2020-06-03,"General",2109152
"Sonora",42.03,2020-06-03,"Ventilador",2109152
"Sonora",57.89,2020-06-03,"UCI",2109152
"Sonora",45.62,2020-06-04,"General",2109152
"Sonora",66.66,2020-06-04,"UCI",2109152
"Sonora",44.1,2020-06-04,"Ventilador",2109152
"Sonora",45.18,2020-06-05,"Ventilador",2109152
"Sonora",72.34,2020-06-05,"UCI",2109152
"Sonora",43.5,2020-06-05,"General",2109152
"Sonora",48.09,2020-06-06,"General",2109152
"Sonora",49.75,2020-06-06,"Ventilador",2109152
"Sonora",68.75,2020-06-06,"UCI",2109152
"Sonora",51.89,2020-06-07,"Ventilador",2109152
"Sonora",73.91,2020-06-07,"UCI",2109152
"Sonora",50.14,2020-06-07,"General",2109152
"Sonora",48.78,2020-06-08,"Ventilador",2109152
"Sonora",48.97,2020-06-08,"General",2109152
"Sonora",63.15,2020-06-08,"UCI",2109152
"Sonora",62.06,2020-06-09,"UCI",2109152
"Sonora",50.63,2020-06-09,"General",2109152
"Sonora",52.69,2020-06-09,"Ventilador",2109152
"Sonora",52.36,2020-06-10,"General",2109152
"Sonora",52.28,2020-06-10,"Ventilador",2109152
"Sonora",63.79,2020-06-10,"UCI",2109152
"Sonora",60.34,2020-06-11,"UCI",2109152
"Sonora",50.4,2020-06-11,"Ventilador",2109152
"Sonora",54.45,2020-06-11,"General",2109152
"Sonora",72.54,2020-06-12,"UCI",2109152
"Sonora",55.37,2020-06-12,"General",2109152
"Sonora",51.51,2020-06-12,"Ventilador",2109152
"Sonora",56.05,2020-06-13,"General",2109152
"Sonora",56.42,2020-06-13,"Ventilador",2109152
"Sonora",69.56,2020-06-13,"UCI",2109152
"Sonora",52.29,2020-06-14,"Ventilador",2109152
"Sonora",60,2020-06-14,"UCI",2109152
"Sonora",55.6,2020-06-14,"General",2109152
"Sonora",55.72,2020-06-15,"General",2109152
"Sonora",62.29,2020-06-15,"UCI",2109152
"Sonora",49.19,2020-06-15,"Ventilador",2109152
"Sonora",58.87,2020-06-16,"General",2109152
