"","Fecha","CVEGEO","MUNICIPIO","CASOS_SINTOMAS"
"229",2020-01-04,26048,"Puerto Peñasco",0
"230",2020-01-04,26029,"Guaymas",0
"231",2020-01-04,26999,"Sin municipio registrado",0
"232",2020-01-04,26025,"Empalme",0
"233",2020-01-04,26033,"Huatabampo",0
"234",2020-01-04,26047,"Pitiquito",0
"235",2020-01-04,26017,"Caborca",0
"236",2020-01-04,26004,"Altar",0
"237",2020-01-04,26012,"Bácum",0
"238",2020-01-04,26072,"San Ignacio Río Muerto",0
"239",2020-01-04,26071,"Benito Juárez",0
"240",2020-01-04,26052,"Sahuaripa",0
"241",2020-01-04,26003,"Álamos",0
"242",2020-01-04,26037,"Mazatán",0
"243",2020-01-04,26049,"Quiriego",0
"244",2020-01-04,26066,"Ures",0
"245",2020-01-04,26027,"Fronteras",0
"246",2020-01-04,26007,"Átil",0
"247",2020-01-04,26019,"Cananea",0
"248",2020-01-04,26034,"Huépac",0
"249",2020-01-04,26041,"Nacozari de García",0
"250",2020-01-04,26014,"Baviácora",0
"251",2020-01-04,26026,"Etchojoa",0
"252",2020-01-04,26064,"Trincheras",0
"253",2020-01-04,26060,"Sáric",0
"254",2020-01-04,26067,"Villa Hidalgo",0
"255",2020-01-04,26045,"Opodepe",0
"256",2020-01-04,26008,"Bacadéhuachi",0
"257",2020-01-04,26070,"General Plutarco Elías Calles",0
"258",2020-01-04,26013,"Banámichi",0
"259",2020-01-04,26068,"Villa Pesqueira",0
"260",2020-01-04,26001,"Aconchi",0
"261",2020-01-04,26039,"Naco",0
"262",2020-01-04,26044,"Ónavas",0
"263",2020-01-04,26035,"Imuris",0
"264",2020-01-04,26020,"Carbó",0
"265",2020-01-04,26038,"Moctezuma",0
"266",2020-01-04,26065,"Tubutama",0
"267",2020-01-04,26016,"Benjamín Hill",0
"268",2020-01-04,26023,"Cumpas",0
"269",2020-01-04,26015,"Bavispe",0
"270",2020-01-04,26032,"Huásabas",0
"271",2020-01-04,26046,"Oquitoa",0
"272",2020-01-04,26005,"Arivechi",0
"273",2020-01-04,26051,"Rosario",0
"274",2020-01-04,26006,"Arizpe",0
"275",2020-01-04,26056,"San Miguel de Horcasitas",0
"276",2020-01-04,26022,"Cucurpe",0
"277",2020-01-04,26010,"Bacerac",0
"278",2020-01-04,26040,"Nácori Chico",0
"279",2020-01-04,26021,"La Colorada",0
"280",2020-01-04,26031,"Huachinera",0
"281",2020-01-04,26024,"Divisaderos",0
"282",2020-01-04,26028,"Granados",0
"283",2020-01-04,26069,"Yécora",0
"284",2020-01-04,26063,"Tepache",0
"285",2020-01-04,26059,"Santa Cruz",0
"286",2020-01-04,26009,"Bacanora",0
"287",2020-01-04,26050,"Rayón",0
"288",2020-01-04,26053,"San Felipe de Jesús",0
"289",2020-01-04,26061,"Soyopa",0
"290",2020-01-04,26062,"Suaqui Grande",0
"291",2020-01-04,26054,"San Javier",0
"292",2020-01-04,26057,"San Pedro de la Cueva",0
"293",2020-01-05,26018,"Cajeme",0
"294",2020-01-05,26030,"Hermosillo",0
"295",2020-01-05,26055,"San Luis Río Colorado",0
"296",2020-01-05,26058,"Santa Ana",0
"297",2020-01-05,26042,"Navojoa",0
"298",2020-01-05,26043,"Nogales",0
"299",2020-01-05,26011,"Bacoachi",0
"300",2020-01-05,26002,"Agua Prieta",0
"301",2020-01-05,26036,"Magdalena",0
"302",2020-01-05,26048,"Puerto Peñasco",0
"303",2020-01-05,26029,"Guaymas",0
"304",2020-01-05,26999,"Sin municipio registrado",0
"305",2020-01-05,26025,"Empalme",0
"306",2020-01-05,26033,"Huatabampo",0
"307",2020-01-05,26047,"Pitiquito",0
"308",2020-01-05,26017,"Caborca",0
"309",2020-01-05,26004,"Altar",0
"310",2020-01-05,26012,"Bácum",0
"311",2020-01-05,26072,"San Ignacio Río Muerto",0
"312",2020-01-05,26071,"Benito Juárez",0
"313",2020-01-05,26052,"Sahuaripa",0
"314",2020-01-05,26003,"Álamos",0
"315",2020-01-05,26037,"Mazatán",0
"316",2020-01-05,26049,"Quiriego",0
"317",2020-01-05,26066,"Ures",0
"318",2020-01-05,26027,"Fronteras",0
"319",2020-01-05,26007,"Átil",0
"320",2020-01-05,26019,"Cananea",0
"321",2020-01-05,26034,"Huépac",0
"322",2020-01-05,26041,"Nacozari de García",0
"323",2020-01-05,26014,"Baviácora",0
"324",2020-01-05,26026,"Etchojoa",0
"325",2020-01-05,26064,"Trincheras",0
"326",2020-01-05,26060,"Sáric",0
"327",2020-01-05,26067,"Villa Hidalgo",0
"328",2020-01-05,26045,"Opodepe",0
"329",2020-01-05,26008,"Bacadéhuachi",0
"330",2020-01-05,26070,"General Plutarco Elías Calles",0
"331",2020-01-05,26013,"Banámichi",0
"332",2020-01-05,26068,"Villa Pesqueira",0
"333",2020-01-05,26001,"Aconchi",0
"334",2020-01-05,26039,"Naco",0
"335",2020-01-05,26044,"Ónavas",0
"336",2020-01-05,26035,"Imuris",0
"337",2020-01-05,26020,"Carbó",0
"338",2020-01-05,26038,"Moctezuma",0
"339",2020-01-05,26065,"Tubutama",0
"340",2020-01-05,26016,"Benjamín Hill",0
"341",2020-01-05,26023,"Cumpas",0
"342",2020-01-05,26015,"Bavispe",0
"343",2020-01-05,26032,"Huásabas",0
"344",2020-01-05,26046,"Oquitoa",0
"345",2020-01-05,26005,"Arivechi",0
"346",2020-01-05,26051,"Rosario",0
"347",2020-01-05,26006,"Arizpe",0
"348",2020-01-05,26056,"San Miguel de Horcasitas",0
"349",2020-01-05,26022,"Cucurpe",0
"350",2020-01-05,26010,"Bacerac",0
"351",2020-01-05,26040,"Nácori Chico",0
"352",2020-01-05,26021,"La Colorada",0
"353",2020-01-05,26031,"Huachinera",0
"354",2020-01-05,26024,"Divisaderos",0
"355",2020-01-05,26028,"Granados",0
"356",2020-01-05,26069,"Yécora",0
"357",2020-01-05,26063,"Tepache",0
"358",2020-01-05,26059,"Santa Cruz",0
"359",2020-01-05,26009,"Bacanora",0
"360",2020-01-05,26050,"Rayón",0
"361",2020-01-05,26053,"San Felipe de Jesús",0
"362",2020-01-05,26061,"Soyopa",0
"363",2020-01-05,26062,"Suaqui Grande",0
"364",2020-01-05,26054,"San Javier",0
"365",2020-01-05,26057,"San Pedro de la Cueva",0
"366",2020-01-06,26018,"Cajeme",0
"367",2020-01-06,26030,"Hermosillo",0
"368",2020-01-06,26055,"San Luis Río Colorado",0
"369",2020-01-06,26058,"Santa Ana",0
"370",2020-01-06,26042,"Navojoa",0
"371",2020-01-06,26043,"Nogales",0
"372",2020-01-06,26011,"Bacoachi",0
"373",2020-01-06,26002,"Agua Prieta",0
"374",2020-01-06,26036,"Magdalena",0
"375",2020-01-06,26048,"Puerto Peñasco",0
