"","fecha_ingreso","Analizados","Resultados_lab","Confirmados_lab","Descartados_lab","Sospechosos","Casos","C_M","C_H","Decesos","D_M","D_H","Ambulatorios","Hospitalizados","Graves","Criticos","UCI","C_IMSS","D_IMSS","C_SSA","D_SSA","C_Estatal","D_Estatal","C_Municipal","D_Municipal","C_ISSSTE","D_ISSSTE","C_Privada","D_Privada","C_SEDENA","D_SEDENA","C_SEMAR","D_SEMAR","C_PEMEX","D_PEMEX","C_0_14","D_0_14","C_15_29","D_15_29","C_30_59","D_30_59","C_60_mas","D_60_mas"
"43",2020-03-27,6,3,1,2,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"44",2020-03-28,3,2,2,0,1,2,1,1,0,0,0,1,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"45",2020-03-29,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",2020-03-30,16,4,1,3,10,1,1,0,0,0,0,0,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"47",2020-03-31,15,4,2,2,11,2,1,1,0,0,0,0,2,4,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"48",2020-04-01,19,11,0,11,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",2020-04-02,9,3,1,2,6,1,0,1,1,0,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"50",2020-04-03,8,2,0,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",2020-04-04,6,3,2,1,3,2,1,1,2,1,1,0,2,4,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"52",2020-04-05,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",2020-04-06,24,5,4,1,12,5,3,2,1,0,1,3,2,8,2,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0
"54",2020-04-07,23,10,9,1,11,9,4,5,1,1,0,6,3,6,4,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,1,0,0
"55",2020-04-08,22,17,12,5,5,12,6,6,0,0,0,11,1,2,1,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,1,0
"56",2020-04-09,12,6,4,2,6,4,1,3,1,0,1,2,2,4,3,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0
"57",2020-04-10,16,6,5,1,10,5,1,4,1,0,1,3,2,4,4,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0
"58",2020-04-11,11,4,2,2,7,2,1,1,0,0,0,1,1,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"59",2020-04-12,7,3,3,0,4,3,1,2,1,0,1,1,2,3,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
"60",2020-04-13,28,16,15,1,12,15,4,11,0,0,0,14,1,3,1,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,2,0
"61",2020-04-14,20,6,4,2,14,4,1,3,1,0,1,3,1,4,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1
"62",2020-04-15,20,8,6,2,11,7,3,4,2,1,1,6,1,3,1,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,1
"63",2020-04-16,24,16,11,5,8,11,6,5,2,1,1,9,2,4,4,0,3,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,7,2,1,0
"64",2020-04-17,27,15,10,5,12,10,7,3,0,0,0,9,1,4,1,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,1,0
"65",2020-04-18,15,12,7,5,3,7,3,4,3,1,2,4,3,10,5,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,3,1
"66",2020-04-19,10,3,3,0,7,3,2,1,2,1,1,1,2,4,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2
"67",2020-04-20,31,18,8,10,12,8,4,4,0,0,0,8,0,2,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0
"68",2020-04-21,26,13,6,7,13,6,4,2,1,1,0,3,3,4,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0
"69",2020-04-22,29,20,10,10,9,10,7,3,0,0,0,9,1,5,1,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,2,0
"70",2020-04-23,18,10,4,6,6,4,4,0,2,2,0,2,2,5,2,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2
"71",2020-04-24,24,13,7,6,10,7,4,3,1,1,0,5,2,4,2,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,1
"72",2020-04-25,5,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",2020-04-26,7,4,2,2,2,2,1,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"74",2020-04-27,30,17,9,8,12,9,4,5,3,2,1,5,4,9,6,0,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,2,1,1
"75",2020-04-28,7,1,1,0,5,1,0,1,1,0,1,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"76",2020-04-29,16,11,5,6,5,5,3,2,0,0,0,4,1,2,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0
"77",2020-04-30,17,15,11,4,1,12,6,6,2,1,1,8,4,7,5,1,5,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,2
"78",2020-05-01,7,5,4,1,1,4,1,3,1,0,1,1,3,6,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1
"79",2020-05-02,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"80",2020-05-03,13,12,6,6,1,6,2,4,1,1,0,4,2,3,3,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,1
"81",2020-05-04,22,20,17,3,1,17,5,12,4,0,4,13,4,8,5,0,5,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,3,3,1
"82",2020-05-05,10,9,7,2,1,7,3,4,1,0,1,6,1,1,2,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0
"83",2020-05-06,10,9,8,1,1,8,5,3,1,1,0,6,2,3,2,0,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,1
"84",2020-05-07,16,16,10,6,0,10,6,4,2,1,1,7,3,3,3,0,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,0,2,2
"85",2020-05-08,3,2,2,0,1,2,0,2,2,0,2,0,2,2,2,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0
"86",2020-05-09,12,11,5,6,1,5,4,1,1,1,0,4,1,2,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0
"87",2020-05-10,6,3,1,2,2,1,0,1,1,0,1,0,1,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"88",2020-05-11,13,12,6,6,1,6,3,3,3,2,1,2,4,7,5,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1
"89",2020-05-12,15,15,10,5,0,10,6,4,1,1,0,9,1,4,1,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,0,2,1
"90",2020-05-13,14,14,12,2,0,12,7,5,3,1,2,9,3,7,4,1,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,1,3,2
"91",2020-05-14,20,19,19,0,1,19,8,11,2,1,1,15,4,7,5,1,7,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,13,0,4,2
"92",2020-05-15,16,15,11,4,1,11,7,4,4,2,2,5,6,11,6,0,6,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,4,3
"93",2020-05-16,9,9,7,2,0,7,3,4,3,2,1,4,3,5,4,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,3
