"","Fecha","CVEGEO","MUNICIPIO","CASOS_ACTIVOS"
"295",2020-04-16,26012,"Bácum",0
"296",2020-04-16,26014,"Baviácora",0
"297",2020-04-16,26017,"Caborca",3
"298",2020-04-16,26018,"Cajeme",2
"299",2020-04-16,26019,"Cananea",0
"300",2020-04-16,26025,"Empalme",0
"301",2020-04-16,26026,"Etchojoa",0
"302",2020-04-16,26027,"Fronteras",0
"303",2020-04-16,26029,"Guaymas",0
"304",2020-04-16,26030,"Hermosillo",7
"305",2020-04-16,26033,"Huatabampo",9
"306",2020-04-16,26034,"Huépac",0
"307",2020-04-16,26036,"Magdalena",0
"308",2020-04-16,26041,"Nacozari de García",0
"309",2020-04-16,26042,"Navojoa",0
"310",2020-04-16,26043,"Nogales",0
"311",2020-04-16,26045,"Opodepe",0
"312",2020-04-16,26047,"Pitiquito",0
"313",2020-04-16,26048,"Puerto Peñasco",0
"314",2020-04-16,26052,"Sahuaripa",0
"315",2020-04-16,26055,"San Luis Río Colorado",14
"316",2020-04-16,26058,"Santa Ana",0
"317",2020-04-16,26060,"Sáric",2
"318",2020-04-16,26066,"Ures",0
"319",2020-04-16,26067,"Villa Hidalgo",0
"320",2020-04-16,26999,"Sin municipio registrado",0
"321",2020-04-16,26070,"General Plutarco Elías Calles",0
"322",2020-04-16,26013,"Banámichi",0
"323",2020-04-16,26003,"Álamos",0
"324",2020-04-16,26004,"Altar",0
"325",2020-04-16,26039,"Naco",0
"326",2020-04-16,26001,"Aconchi",0
"327",2020-04-16,26035,"Imuris",0
"328",2020-04-16,26044,"Ónavas",0
"329",2020-04-16,26020,"Carbó",0
"330",2020-04-16,26038,"Moctezuma",0
"331",2020-04-16,26068,"Villa Pesqueira",0
"332",2020-04-16,26071,"Benito Juárez",0
"333",2020-04-16,26016,"Benjamín Hill",0
"334",2020-04-16,26065,"Tubutama",0
"335",2020-04-16,26023,"Cumpas",0
"336",2020-04-16,26032,"Huásabas",0
"337",2020-04-16,26015,"Bavispe",0
"338",2020-04-16,26064,"Trincheras",0
"339",2020-04-16,26072,"San Ignacio Río Muerto",0
"340",2020-04-16,26005,"Arivechi",0
"341",2020-04-16,26037,"Mazatán",0
"342",2020-04-16,26046,"Oquitoa",0
"343",2020-04-16,26051,"Rosario",0
"344",2020-04-16,26006,"Arizpe",0
"345",2020-04-16,26011,"Bacoachi",0
"346",2020-04-16,26022,"Cucurpe",0
"347",2020-04-16,26056,"San Miguel de Horcasitas",0
"348",2020-04-16,26040,"Nácori Chico",0
"349",2020-04-16,26049,"Quiriego",0
"350",2020-04-16,26010,"Bacerac",0
"351",2020-04-16,26031,"Huachinera",0
"352",2020-04-16,26021,"La Colorada",0
"353",2020-04-16,26028,"Granados",0
"354",2020-04-16,26063,"Tepache",0
"355",2020-04-16,26024,"Divisaderos",0
"356",2020-04-16,26050,"Rayón",0
"357",2020-04-16,26053,"San Felipe de Jesús",0
"358",2020-04-16,26059,"Santa Cruz",0
"359",2020-04-16,26069,"Yécora",0
"360",2020-04-16,26009,"Bacanora",0
"361",2020-04-16,26062,"Suaqui Grande",0
"362",2020-04-16,26054,"San Javier",0
"363",2020-04-16,26061,"Soyopa",0
"364",2020-04-16,26007,"Átil",0
"365",2020-04-16,26057,"San Pedro de la Cueva",0
"366",2020-04-17,26002,"Agua Prieta",0
"367",2020-04-17,26008,"Bacadéhuachi",0
"368",2020-04-17,26012,"Bácum",0
"369",2020-04-17,26014,"Baviácora",0
"370",2020-04-17,26017,"Caborca",3
"371",2020-04-17,26018,"Cajeme",1
"372",2020-04-17,26019,"Cananea",0
"373",2020-04-17,26025,"Empalme",0
"374",2020-04-17,26026,"Etchojoa",0
"375",2020-04-17,26027,"Fronteras",0
"376",2020-04-17,26029,"Guaymas",0
"377",2020-04-17,26030,"Hermosillo",7
"378",2020-04-17,26033,"Huatabampo",5
"379",2020-04-17,26034,"Huépac",0
"380",2020-04-17,26036,"Magdalena",0
"381",2020-04-17,26041,"Nacozari de García",0
"382",2020-04-17,26042,"Navojoa",0
"383",2020-04-17,26043,"Nogales",0
"384",2020-04-17,26045,"Opodepe",0
"385",2020-04-17,26047,"Pitiquito",0
"386",2020-04-17,26048,"Puerto Peñasco",0
