"","fecha_sintomas","casos24","casos17","diferencia"
"66",2020-05-17,161,161,0
"67",2020-05-18,207,207,0
"68",2020-05-19,160,160,0
"69",2020-05-20,196,196,0
"70",2020-05-21,173,173,0
"71",2020-05-22,228,228,0
"72",2020-05-23,212,212,0
"73",2020-05-24,170,170,0
"74",2020-05-25,300,300,0
"75",2020-05-26,209,209,0
"76",2020-05-27,211,211,0
"77",2020-05-28,207,207,0
"78",2020-05-29,209,209,0
"79",2020-05-30,260,260,0
"80",2020-05-31,193,193,0
"81",2020-06-01,367,367,0
"82",2020-06-02,219,219,0
"83",2020-06-03,209,209,0
"84",2020-06-04,212,212,0
"85",2020-06-05,266,266,0
"86",2020-06-06,255,255,0
"87",2020-06-07,244,244,0
"88",2020-06-08,308,308,0
"89",2020-06-09,234,234,0
"90",2020-06-10,283,283,0
"91",2020-06-11,222,222,0
"92",2020-06-12,271,271,0
"93",2020-06-13,248,248,0
"94",2020-06-14,282,282,0
"95",2020-06-15,350,350,0
"96",2020-06-16,274,274,0
"97",2020-06-17,250,250,0
"98",2020-06-18,285,285,0
"99",2020-06-19,312,312,0
"100",2020-06-20,423,423,0
"101",2020-06-21,298,298,0
"102",2020-06-22,390,390,0
"103",2020-06-23,320,320,0
"104",2020-06-24,321,321,0
"105",2020-06-25,471,471,0
"106",2020-06-26,480,480,0
"107",2020-06-27,356,356,0
"108",2020-06-28,427,427,0
"109",2020-06-29,420,420,0
"110",2020-06-30,508,508,0
"111",2020-07-01,703,703,0
"112",2020-07-02,452,452,0
"113",2020-07-03,468,468,0
"114",2020-07-04,355,355,0
"115",2020-07-05,414,414,0
"116",2020-07-06,366,366,0
"117",2020-07-07,349,349,0
"118",2020-07-08,302,302,0
"119",2020-07-09,335,335,0
"120",2020-07-10,478,478,0
"121",2020-07-11,327,327,0
"122",2020-07-12,278,278,0
"123",2020-07-13,315,315,0
"124",2020-07-14,266,266,0
"125",2020-07-15,350,350,0
"126",2020-07-16,338,338,0
"127",2020-07-17,314,314,0
"128",2020-07-18,353,353,0
"129",2020-07-19,365,365,0
"130",2020-07-20,407,407,0
"131",2020-07-21,308,308,0
"132",2020-07-22,255,255,0
"133",2020-07-23,282,282,0
"134",2020-07-24,326,326,0
"135",2020-07-25,382,382,0
"136",2020-07-26,369,369,0
"137",2020-07-27,380,380,0
"138",2020-07-28,272,272,0
"139",2020-07-29,226,226,0
"140",2020-07-30,247,247,0
"141",2020-07-31,263,263,0
"142",2020-08-01,409,409,0
"143",2020-08-02,235,235,0
"144",2020-08-03,273,273,0
"145",2020-08-04,184,184,0
"146",2020-08-05,225,225,0
"147",2020-08-06,259,259,0
"148",2020-08-07,236,236,0
"149",2020-08-08,237,237,0
"150",2020-08-09,261,261,0
"151",2020-08-10,432,432,0
"152",2020-08-11,207,207,0
"153",2020-08-12,219,219,0
"154",2020-08-13,175,175,0
"155",2020-08-14,203,203,0
"156",2020-08-15,230,230,0
"157",2020-08-16,170,170,0
"158",2020-08-17,186,186,0
"159",2020-08-18,184,184,0
"160",2020-08-19,199,199,0
"161",2020-08-20,257,257,0
"162",2020-08-21,193,193,0
"163",2020-08-22,166,166,0
"164",2020-08-23,175,175,0
"165",2020-08-24,172,172,0
"166",2020-08-25,157,157,0
"167",2020-08-26,167,167,0
"168",2020-08-27,167,167,0
"169",2020-08-28,190,190,0
"170",2020-08-29,145,145,0
"171",2020-08-30,139,139,0
"172",2020-08-31,117,117,0
"173",2020-09-01,201,201,0
"174",2020-09-02,135,135,0
"175",2020-09-03,113,113,0
"176",2020-09-04,116,116,0
"177",2020-09-05,189,189,0
"178",2020-09-06,158,158,0
"179",2020-09-07,164,164,0
"180",2020-09-08,114,114,0
"181",2020-09-09,113,113,0
"182",2020-09-10,131,131,0
"183",2020-09-11,197,197,0
"184",2020-09-12,96,96,0
"185",2020-09-13,95,95,0
"186",2020-09-14,152,152,0
"187",2020-09-15,158,158,0
"188",2020-09-16,82,82,0
"189",2020-09-17,123,123,0
"190",2020-09-18,159,159,0
"191",2020-09-19,203,203,0
"192",2020-09-20,174,174,0
"193",2020-09-21,150,150,0
"194",2020-09-22,99,99,0
"195",2020-09-23,169,169,0
"196",2020-09-24,143,143,0
"197",2020-09-25,160,160,0
"198",2020-09-26,111,111,0
"199",2020-09-27,166,166,0
"200",2020-09-28,174,174,0
"201",2020-09-29,122,122,0
"202",2020-09-30,93,93,0
"203",2020-10-01,187,187,0
"204",2020-10-02,184,184,0
"205",2020-10-03,111,111,0
"206",2020-10-04,122,122,0
"207",2020-10-05,116,116,0
"208",2020-10-06,99,99,0
"209",2020-10-07,110,110,0
"210",2020-10-08,124,124,0
"211",2020-10-09,154,154,0
"212",2020-10-10,144,144,0
"213",2020-10-11,103,103,0
"214",2020-10-12,179,179,0
"215",2020-10-13,105,105,0
"216",2020-10-14,120,120,0
"217",2020-10-15,137,137,0
"218",2020-10-16,170,170,0
"219",2020-10-17,170,170,0
"220",2020-10-18,165,165,0
"221",2020-10-19,207,207,0
"222",2020-10-20,130,130,0
"223",2020-10-21,112,112,0
"224",2020-10-22,132,132,0
"225",2020-10-23,168,168,0
"226",2020-10-24,126,126,0
"227",2020-10-25,115,115,0
"228",2020-10-26,114,114,0
"229",2020-10-27,76,76,0
"230",2020-10-28,94,94,0
"231",2020-10-29,93,93,0
"232",2020-10-30,175,175,0
"233",2020-10-31,167,167,0
"234",2020-11-01,206,206,0
"235",2020-11-02,176,176,0
"236",2020-11-03,147,147,0
"237",2020-11-04,171,171,0
"238",2020-11-05,169,169,0
"239",2020-11-06,189,189,0
"240",2020-11-07,182,182,0
"241",2020-11-08,162,162,0
"242",2020-11-09,224,224,0
"243",2020-11-10,174,174,0
"244",2020-11-11,117,117,0
"245",2020-11-12,127,127,0
"246",2020-11-13,148,148,0
"247",2020-11-14,198,198,0
"248",2020-11-15,262,262,0
"249",2020-11-16,256,256,0
"250",2020-11-17,250,250,0
"251",2020-11-18,258,258,0
"252",2020-11-19,247,247,0
"253",2020-11-20,381,381,0
"254",2020-11-21,265,265,0
"255",2020-11-22,306,306,0
"256",2020-11-23,286,286,0
"257",2020-11-24,243,243,0
"258",2020-11-25,243,243,0
"259",2020-11-26,231,231,0
"260",2020-11-27,323,323,0
"261",2020-11-28,302,302,0
"262",2020-11-29,300,300,0
"263",2020-11-30,325,325,0
"264",2020-12-01,421,421,0
"265",2020-12-02,264,264,0
"266",2020-12-03,301,301,0
"267",2020-12-04,305,305,0
"268",2020-12-05,398,398,0
"269",2020-12-06,381,381,0
"270",2020-12-07,293,293,0
"271",2020-12-08,280,280,0
"272",2020-12-09,324,324,0
"273",2020-12-10,333,333,0
"274",2020-12-11,369,369,0
"275",2020-12-12,420,420,0
"276",2020-12-13,425,425,0
"277",2020-12-14,313,313,0
"278",2020-12-15,269,269,0
"279",2020-12-16,280,280,0
"280",2020-12-17,357,357,0
"281",2020-12-18,429,429,0
"282",2020-12-19,388,388,0
"283",2020-12-20,409,409,0
"284",2020-12-21,293,293,0
"285",2020-12-22,274,274,0
"286",2020-12-23,339,339,0
"287",2020-12-24,329,329,0
"288",2020-12-25,348,348,0
"289",2020-12-26,429,429,0
"290",2020-12-27,310,310,0
"291",2020-12-28,330,330,0
"292",2020-12-29,223,223,0
"293",2020-12-30,296,296,0
"294",2020-12-31,301,301,0
"295",2021-01-01,516,516,0
"296",2021-01-02,372,372,0
"297",2021-01-03,375,375,0
"298",2021-01-04,332,332,0
"299",2021-01-05,309,309,0
"300",2021-01-06,313,313,0
"301",2021-01-07,250,250,0
"302",2021-01-08,283,283,0
"303",2021-01-09,353,353,0
"304",2021-01-10,357,357,0
"305",2021-01-11,314,314,0
"306",2021-01-12,240,240,0
"307",2021-01-13,253,253,0
"308",2021-01-14,290,290,0
"309",2021-01-15,338,338,0
"310",2021-01-16,292,292,0
"311",2021-01-17,253,253,0
"312",2021-01-18,257,257,0
"313",2021-01-19,244,244,0
"314",2021-01-20,288,288,0
"315",2021-01-21,191,191,0
"316",2021-01-22,186,186,0
"317",2021-01-23,182,182,0
"318",2021-01-24,182,182,0
"319",2021-01-25,180,180,0
"320",2021-01-26,167,167,0
"321",2021-01-27,155,155,0
"322",2021-01-28,140,140,0
"323",2021-01-29,140,140,0
"324",2021-01-30,144,144,0
"325",2021-01-31,158,158,0
"326",2021-02-01,197,197,0
"327",2021-02-02,132,132,0
"328",2021-02-03,115,115,0
"329",2021-02-04,131,131,0
"330",2021-02-05,118,118,0
"331",2021-02-06,117,117,0
"332",2021-02-07,142,142,0
"333",2021-02-08,130,130,0
"334",2021-02-09,102,102,0
"335",2021-02-10,113,113,0
"336",2021-02-11,76,76,0
"337",2021-02-12,80,80,0
"338",2021-02-13,91,91,0
"339",2021-02-14,97,97,0
"340",2021-02-15,99,99,0
"341",2021-02-16,94,94,0
"342",2021-02-17,75,75,0
"343",2021-02-18,86,86,0
"344",2021-02-19,75,75,0
"345",2021-02-20,106,106,0
"346",2021-02-21,62,62,0
"347",2021-02-22,76,76,0
"348",2021-02-23,61,61,0
"349",2021-02-24,56,56,0
"350",2021-02-25,85,85,0
"351",2021-02-26,103,103,0
"352",2021-02-27,72,72,0
"353",2021-02-28,109,109,0
