"","fecha_sintomas","Analizados","Resultados_lab","Confirmados_lab","Descartados_lab","Sospechosos","Casos","C_M","C_H","Decesos","D_M","D_H","Ambulatorios","Hospitalizados","Graves","Criticos","UCI","C_IMSS","D_IMSS","C_SSA","D_SSA","C_Estatal","D_Estatal","C_Municipal","D_Municipal","C_ISSSTE","D_ISSSTE","C_Privada","D_Privada","C_SEDENA","D_SEDENA","C_SEMAR","D_SEMAR","C_PEMEX","D_PEMEX","C_0_14","D_0_14","C_15_29","D_15_29","C_30_59","D_30_59","C_60_mas","D_60_mas"
"493",2021-05-09,90,79,13,66,4,20,14,6,1,1,0,18,2,6,2,0,3,1,9,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,13,0,2,1
"494",2021-05-10,219,203,22,181,5,32,16,16,1,0,1,30,2,6,2,0,9,1,16,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,17,1,3,0
"495",2021-05-11,90,82,27,55,2,33,13,20,1,1,0,31,2,4,2,0,8,1,19,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,25,0,4,1
"496",2021-05-12,131,126,21,105,0,26,14,12,2,1,1,24,2,9,3,0,7,2,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,15,0,6,2
"497",2021-05-13,82,78,29,49,0,33,16,17,3,0,3,27,6,13,8,0,12,2,17,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,21,2,6,1
"498",2021-05-14,97,91,20,71,1,25,9,16,0,0,0,24,1,3,1,0,4,0,15,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,16,0,3,0
"499",2021-05-15,97,92,18,74,0,23,11,12,2,1,1,19,4,10,4,0,8,2,9,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,12,0,6,2
"500",2021-05-16,71,67,20,47,0,24,9,15,1,0,1,23,1,5,1,0,4,1,17,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,0,8,1
"501",2021-05-17,198,191,16,175,1,20,10,10,0,0,0,19,1,5,1,0,3,0,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,0,3,0
"502",2021-05-18,63,57,15,42,0,21,11,10,0,0,0,19,2,5,3,0,5,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,0,3,0
"503",2021-05-19,98,91,28,63,1,34,21,13,1,0,1,33,1,5,2,0,7,1,21,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,20,0,4,1
"504",2021-05-20,109,107,32,75,1,33,23,10,3,2,1,29,4,12,5,1,10,2,16,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,23,2,3,1
"505",2021-05-21,91,89,26,63,1,27,14,13,3,2,1,23,4,10,7,0,9,1,15,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,21,1,2,2
"506",2021-05-22,85,82,18,64,1,20,12,8,0,0,0,19,1,6,1,0,13,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,2,0
"507",2021-05-23,97,92,35,57,0,40,26,14,0,0,0,39,1,5,1,0,9,0,26,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,22,0,1,0
"508",2021-05-24,101,93,24,69,0,32,17,15,0,0,0,30,2,7,2,0,10,0,8,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,6,0,21,0,2,0
"509",2021-05-25,71,63,18,45,1,25,13,12,0,0,0,20,5,9,5,0,10,0,6,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,12,0,5,0
"510",2021-05-26,81,76,20,56,0,25,13,12,1,0,1,22,3,4,3,0,9,1,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,1,3,0
"511",2021-05-27,77,74,16,58,1,18,9,9,1,0,1,16,2,5,2,0,10,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12,0,1,1
"512",2021-05-28,58,57,20,37,0,20,10,10,0,0,0,19,1,3,1,0,8,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15,0,1,0
"513",2021-05-29,95,91,23,68,1,26,15,11,3,0,3,23,3,11,3,0,12,3,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,14,1,3,2
"514",2021-05-30,91,90,25,65,0,26,13,13,2,0,2,19,7,15,7,0,9,2,13,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,18,1,2,1
"515",2021-05-31,127,122,27,95,1,31,8,23,1,0,1,29,2,6,2,0,9,1,16,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,11,0,15,1,0,0
"516",2021-06-01,154,151,52,99,0,54,34,20,0,0,0,50,4,9,4,0,28,0,23,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,29,0,3,0
"517",2021-06-02,78,76,26,50,1,27,16,11,4,3,1,20,7,17,10,1,13,2,10,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,15,2,5,2
"518",2021-06-03,156,148,47,101,2,53,19,34,2,0,2,48,5,13,5,0,10,1,40,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,36,1,6,1
"519",2021-06-04,163,157,50,107,1,53,29,24,3,1,2,46,7,12,9,0,19,2,29,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,13,0,33,2,6,1
"520",2021-06-05,135,128,49,79,4,51,30,21,3,2,1,45,6,13,7,0,20,2,28,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,17,0,30,2,3,1
"521",2021-06-06,149,145,59,86,0,63,32,31,3,2,1,56,7,14,9,1,35,2,25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,43,3,1,0
"522",2021-06-07,118,116,46,70,2,46,27,19,2,2,0,37,9,20,11,0,25,1,16,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,31,1,6,1
"523",2021-06-08,89,89,35,54,0,35,13,22,2,2,0,30,5,13,6,0,20,2,10,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,26,2,0,0
"524",2021-06-09,167,165,66,99,0,68,37,31,4,0,4,61,7,15,9,2,32,4,27,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,20,1,40,1,5,2
"525",2021-06-10,177,170,69,101,1,75,39,36,3,1,2,67,8,18,9,1,26,2,41,0,7,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,18,0,48,2,8,1
"526",2021-06-11,136,128,58,70,3,63,31,32,2,1,1,57,6,11,8,1,22,2,29,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,14,0,44,2,3,0
"527",2021-06-12,175,169,68,101,2,72,31,41,3,1,2,66,6,17,9,0,23,2,40,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,23,1,44,1,4,1
"528",2021-06-13,151,148,72,76,0,75,36,39,3,1,2,69,6,17,7,0,16,1,50,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,18,0,46,1,6,2
"529",2021-06-14,184,178,75,103,1,80,38,42,2,1,1,78,2,6,2,0,24,1,41,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,32,0,35,0,9,2
"530",2021-06-15,153,149,57,92,3,58,24,34,2,0,2,54,4,10,5,1,26,0,26,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20,0,29,2,7,0
"531",2021-06-16,138,134,47,87,1,50,24,26,1,0,1,44,6,14,6,0,17,1,25,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,0,27,0,5,1
"532",2021-06-17,154,147,63,84,1,69,39,30,6,2,4,60,9,16,10,1,26,4,31,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,17,0,44,4,3,2
"533",2021-06-18,208,201,81,120,2,85,49,36,1,0,1,76,9,18,9,0,29,0,46,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,56,0,5,1
"534",2021-06-19,259,249,77,172,1,86,44,42,1,1,0,80,6,13,6,0,20,1,56,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,34,0,36,0,13,1
"535",2021-06-20,298,267,87,180,4,113,67,46,3,2,1,105,8,25,8,1,32,1,56,0,23,0,0,0,2,1,0,0,0,0,0,0,0,0,4,0,31,0,66,2,12,1
"536",2021-06-21,216,205,92,113,0,103,60,43,2,2,0,96,7,17,7,0,38,1,39,0,24,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,33,0,59,1,7,1
"537",2021-06-22,139,129,57,72,1,66,33,33,1,0,1,59,7,14,7,0,35,1,16,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,21,0,40,1,3,0
"538",2021-06-23,162,152,45,107,1,54,29,25,2,0,2,46,8,17,9,1,22,0,22,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,0,32,1,4,1
"539",2021-06-24,217,204,101,103,4,110,66,44,4,2,2,101,9,19,12,0,19,3,81,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,38,1,53,1,13,2
